P,Q,Qp,C
4.7279,48.5147,0.0,1.0
4.167272418460841,41.60949006026164,6.992392313819058,0.7853618292947183
3.8186911977500846,36.90930763364639,11.698238981572883,0.6167932029769533
3.6079347680828033,33.618683703813815,14.939885079942771,0.48440583823865396
3.491250973781401,31.266177883496763,17.206374598358476,0.38043385528941936
3.441564078083454,29.55922673904148,18.80224713109429,0.29877822855431785
3.4413921357123365,28.308974630791663,19.924767095652296,0.23464901618746103
3.4790192983535086,27.38933171587412,20.706085524147145,0.18428438064740682
3.546333171483116,26.713662371796854,21.237304049587145,0.1447299183324233
3.6375539352375506,26.22097660510623,21.582764718349424,0.11366535353442102
3.748460685624465,25.86745486329489,21.788842985467276,0.08926843008424626
3.8759050750802357,25.621077195863794,21.88953446451737,0.07010801763013252
4.0174961870195185,25.45811857355188,21.910110015971863,0.05506016103826653
4.171390489549692,25.360800891522945,21.869570818360494,0.043242149084118865
4.336147962587011,25.315681693492753,21.78233731892321,0.03396073358432258
4.510631001820624,25.312524915333306,21.6594357298956,1.0
4.0431171519017814,21.763402565885112,25.056761197524903,0.7853618324716862
3.7646325083841403,19.355705805613056,27.2690999740923,0.6167932054943525
3.6107268853271886,17.67931424406046,28.722432028341547,0.48440584017180777
3.5432631281722697,16.491098932442284,29.67034103498382,0.38043385682348785
3.5385557721816863,15.640161732755297,30.270896228029724,0.2987782297569387
3.5812591395932603,15.02909967908612,30.62658750865327,0.23464901714992922
3.661054079619322,14.592896685874774,30.806144297741124,0.1842843814187647
3.7707711581658176,14.286900466881038,30.856997096131995,0.14472991895573298
3.9052853277994983,14.07969833935667,30.8126822695752,0.11366535403901908
4.060841802588394,13.948743775577361,30.697400936257946,0.08926843051792477
4.234631507697071,13.877584510721567,30.52891697495483,0.07010801800160381
4.424515452029038,13.854053816110135,30.320453734133118,1.0
4.003908905450597,11.962943933634776,31.966366298160697,0.7853618328886258
3.7609108003407314,10.6879612771327,32.97107819379954,0.6167932058485477
3.63613213676903,9.809323305433328,33.564796098859624,0.4844058404379999
3.5943443486418487,9.19667836396358,33.88480652611589,0.38043385702570043
3.6136265763746285,8.769111381548914,34.016836661242614,0.2987782299179225
3.6797570973572857,8.474402631396243,34.01656906579853,0.23464901728135804
3.783164935419851,8.27771596477864,33.92141201787612,0.18428438152472137
3.917199047363825,8.155151223557551,33.75723029112767,0.14472991904546978
4.077106877516537,8.089921672752057,33.54234907982503,0.11366535412318525
4.259410229857747,8.070006470918845,33.29002149725847,1.0
3.879144189875992,7.01273142807075,34.06812441921922,0.7853618330727978
3.6651391929942023,6.307110592087192,34.47904738277049,0.6167932060226632
3.5626640585772695,5.829125710736769,34.65436170300568,0.48440584056081937
3.539208466621233,5.505181122441724,34.67274064799657,0.38043385711977806
3.5745283774870975,5.2895914848456105,34.5834392136975,0.29877822999523185
3.6554898797305784,5.152890595130855,34.41853360837953,0.23464901733758053
3.7732610224447676,5.075447457389356,34.199630615603766,0.18428438159075203
3.9217145033374505,5.043823623531315,33.941711412463654,1.0
3.592292996236049,4.416326556529461,34.27589781944895,0.7853618333187914
3.412735166576096,4.00342950043457,34.385554608706,0.6167932062599336
3.3344611547824727,3.730590685941314,34.35102991085065,0.4844058407309033
3.328594956385778,3.5535582882665855,34.22051933484127,0.3804338572529052
3.3771565801136005,3.4448745426972645,34.02428880783141,0.2987782301017855
3.468491383614573,3.3868550174422354,33.78210783785465,0.2346490174199926
3.594776855883086,3.3677491391225605,33.50733411593802,1.0
3.3091375506187775,2.9746669657126783,33.60473889895887,0.7853618336427769
3.1585893327768977,2.7209866413748838,33.556179974051524,0.616793206583712
3.099963256715221,2.559223935214292,33.413847762878646,0.48440584095916595
3.107593953455234,2.4611853136142536,33.20916335737764,0.38043385742188535
3.165509565191351,2.409394754337726,32.96192839087005,0.29877823024502825
3.2633726551652757,2.392624507322788,32.6851219716539,1.0
3.0181903635054836,2.132256806139476,32.65119110813809,0.7853618340490776
2.8939208113933583,1.968240184683462,32.516589246159086,0.6167932070608468
2.852470467783887,1.8684873133114654,32.31733871007913,0.48440584123286073
2.871194713550231,1.8139521189065482,32.07520804451358,0.3804338576089556
2.9360151776865653,1.7928502109310223,31.803964489441128,1.0
2.7282366293308975,1.6108960737998872,31.693423702793364,0.7853618343980292
2.6278778711267297,1.4994111397936312,31.509721426347085,0.6167932074617893
2.601586063187022,1.4354792262320613,31.279121856131304,0.4844058414602709
2.6295435652830643,1.4055103958034165,31.01754994955886,0.3804338575454754
