P,Q,Qp,C,day,cancer_cells
7.13,41.2,0.0,1.0,0.0,48.330000000000005
4.607173362524823,38.767281792940736,3.4790589725770174,0.9109847043315206,1.0,46.853514128042576
3.1458943482546324,36.232114455667585,4.734861646266803,0.8298931315255615,2.0,44.112870450189014
2.2681681022704874,33.83631807523942,4.929030043389564,0.7560199490491927,3.0,41.03351622089947
1.7211049938984568,31.670685282484836,4.652807369332174,0.6887226097529794,4.0,38.04459764571546
1.3687136028819333,29.756692050016216,4.199321432450477,0.6274157630119481,5.0,35.32472708534863
1.1357545749868119,28.08561778326788,3.7081984218974777,0.5715661633600997,6.0,32.92957078015217
0.9792436474740219,26.63701006491626,3.241449376008726,0.5206880323342536,7.0,30.85770308839901
0.8738477158268563,25.387260715758696,2.822813782502485,0.4743388331847566,8.0,29.083922214088037
0.8042271631002729,24.31345268893649,2.4578827890423347,0.4321154217015687,9.0,27.575562641079095
0.7609062591837453,23.394949687321535,2.1442151986174958,0.3936505396757065,10.0,26.300071145122775
0.7379806218816262,22.613921783876158,1.8762982406265778,0.35860962049624684,11.0,25.228200646384362
0.7318091056450895,21.955387555363863,1.6478862014407192,0.32668787909799474,12.0,24.335082862449674
0.7402492421507344,21.40705591243867,1.4530279093553322,0.2976076609481196,13.0,23.600333063944735
0.7622018708976132,20.959104740955304,1.2864549217300278,0.2711160270149693,14.0,23.007761533582944
0.7973366219888058,20.603961084354722,1.1436705672900251,0.2469825537091568,15.0,22.544968273633554
0.8459258046693823,20.33611149163505,1.0209089212714095,0.22499732868205996,16.0,22.202946217575843
0.9087441647377293,20.151953172373815,0.9150457294560491,0.2049691249760865,17.0,21.975743066567595
0.9870082796587043,20.049687605403452,0.8234992623936052,0.18672373777840562,18.0,21.86019514745576
1.0823380700226963,20.02925346267422,0.744137350091445,0.17010246913432278,19.0,21.855728882788362
1.1967272924945407,20.092292931767556,0.6751964250904875,0.15496074762731124,20.0,21.964216649352583
1.3325116422198604,20.242143154842765,0.6152134998410126,0.14116687094673214,21.0,22.189868296903636
1.4923232399189683,20.4838419535031,0.5629700881533173,0.1286008602699368,22.0,22.539135281575383
1.679019374058913,20.8241339101744,0.5174463521918911,0.1171534167409388,23.0,23.020599636425203
1.8955721283345035,21.271458778864854,0.4777836205960739,0.1067249707780189,24.0,23.644814527795432
2.144904546309267,21.83589945834092,0.4432536918147446,0.09722481601327582,25.0,24.42405769646493
2.4296592584580443,22.529061508001444,0.4132335054449241,0.08857032033122839,26.0,25.371954271904414
2.75188836383719,23.363851397468615,0.38718407648499154,0.08068620713221827,27.0,26.502923837790796
3.1126603269355027,24.354117657792475,0.36463282947967485,0.07350390057534442,28.0,27.83141081420765
3.511592370346908,25.514120132094217,0.3451587263464155,0.06696092911089047,29.0,29.37087122878754
3.9463361796252694,26.857799181761827,0.3283797342933748,0.061000382198531405,30.0,31.13251509568047
4.412070743970397,28.3978362215504,0.3139425159672348,0.05557041513956477,31.0,33.12384948148803
4.9010828679131775,30.144520716819883,0.3015142293334706,0.05062379820457647,32.0,35.34711781406653
5.402540343734569,32.10448122274943,0.29077659740797407,0.04611750583867434,33.0,37.797798163891976
5.902570231082668,34.279382490650704,0.28142238998974267,0.04201234241983842,34.0,40.46337511172312
6.3847359681991875,36.664734804532245,0.2731544570791493,0.03827260133614728,35.0,43.32262522981058
6.830954451870746,39.24899131184257,0.2656873403431489,0.03486575441063889,36.0,46.34563310405647
7.222810618738534,42.01311005543118,0.2587512411872487,0.03176216897184273,37.0,49.49467191535696
7.5431290204799755,44.93071970605312,0.25209779003469107,0.028934850108680535,38.0,52.72594651656778
7.777579500867788,47.968951677763066,0.24550681704854138,0.02635920587000492,39.0,55.9920379956794
7.9160567035275795,51.08989979239761,0.2387930455734146,0.024012833364896975,40.0,59.24474954149861
7.953599804066722,54.25256359125662,0.23181161668069444,0.021875323902297933,41.0,62.43797501200403
7.890707837175007,57.415051170444876,0.22446149720030664,0.01992808547564984,42.0,65.53022050482019
7.733028005352309,60.536783670430715,0.2166861466647294,0.01815418105410184,43.0,68.48649782244775
7.490515362578348,63.58045588186754,0.20847129755808763,0.016538181259528013,44.0,71.27944254200398
7.176245148405253,66.5135729652928,0.19984010383709597,0.015066030164550617,45.0,73.88965821753514
6.805089575964199,69.30946129564597,0.19084634395810451,0.013724923034548395,46.0,76.30539721556828
6.392452384986699,71.94773936152941,0.1815664824837298,0.012503194952264547,47.0,78.52175822899984
5.953200957794508,74.41430372318055,0.172091477258517,0.011390219356502116,48.0,80.53959615823358
5.500871418287286,76.7009299125469,0.1625190856064645,0.010376315611204117,49.0,82.36432041644065
5.047163388199877,78.80460517109918,0.1529472088914021,0.009452664808029114,50.0,84.00471576819047
