P,Q,Qp,C,day,cancer_cells
7.13,41.2,0.0,1.0,0.0,48.330000000000005
4.498252680400193,38.698998510027906,3.508128617279337,0.909253079739919,1.0,46.70537980770744
3.005016156802487,36.0910247969612,4.76271368386942,0.8267411630162054,2.0,43.85875463763311
2.122991575289854,33.63298076104393,4.94405082328437,0.7517169486199561,3.0,40.700023159618155
1.5804791864557852,31.41768548217425,4.652676306872715,0.683500950625128,4.0,37.650840975502746
1.2343544228962064,29.46466460708771,4.185658333832415,0.6214753443608221,5.0,34.88467736381633
1.0067440811769863,27.76241601142884,3.6838597067695025,0.5650783708422874,6.0,32.453019799375326
0.8537585985214767,26.287873584647613,3.20931197397544,0.5137992489825628,7.0,30.35094415714453
0.7498011595163219,25.015222078692958,2.7853173012072077,0.4671735495052704,8.0,28.55034053941649
0.6794778984139956,23.919728786139615,2.416925423335473,0.4247789886605317,9.0,27.016132107889085
0.6332956082767347,22.979246071397988,2.1011957006966835,0.3862316036482527,10.0,25.713737380371406
0.6053002562588454,22.174640758195526,1.832204896574791,0.35118227510993405,11.0,24.612145911029163
0.5917412660280781,21.489749528320132,1.6033894403063718,0.31931356519327897,12.0,23.68488023465458
0.5902952404352173,20.911146620328022,1.4085602941092936,0.29033684255414943,13.0,22.910002154872533
0.5996043719409573,20.427859063959822,1.2422746733956238,0.26398966825348585,14.0,22.2697381092964
0.6189972603651898,20.031091143521735,1.099909616724077,0.24003341887828863,15.0,21.749998020611002
0.6483184307839212,19.713984016731512,0.9776082804055325,0.21825112535554153,16.0,21.339910727920966
0.6878242435577195,19.471419147726586,0.872181042200289,0.1984455079163654,17.0,21.031424433484595
0.7381199641074894,19.299866051493865,0.7809990823864393,0.18043718927142338,18.0,20.818985097987795
0.800122345088358,19.197271270944928,0.7018961763784912,0.16406307012773327,19.0,20.699289792411776
0.8750371440755675,19.162983687230927,0.6330840350914684,0.1491748518622846,20.0,20.67110486639796
0.9643438394165542,19.197710677534353,0.573081832268555,0.13563769354594252,21.0,20.735136349219463
1.0697809007291283,19.303498702588065,0.520658538457748,0.12332899067298143,22.0,20.893938141774942
1.193325248246401,19.483731136867775,0.47478618089887975,0.11213726467714587,23.0,21.151842566013055
1.3371590497966375,19.743134756100986,0.43460207427278147,0.10196115334607367,24.0,21.514895880170403
1.5036162231478765,20.087784283935402,0.39937823629256775,0.0927084927654222,25.0,21.990778743375845
1.695100073192298,20.52509186576518,0.3684965667407895,0.08429548262539213,26.0,22.588688505698265
1.913962932091696,21.063765244302047,0.34142856544006184,0.07664592724129776,27.0,23.319156741833805
2.1623389095574734,21.71371511048032,0.31771864431579533,0.06969054544788093,28.0,24.193772664353588
2.4419227158168955,22.48588911901829,0.29697029202570074,0.06336634307294747,29.0,25.224782126860884
2.753691463494086,23.39200777035926,0.27883455078533165,0.057616042585399034,30.0,26.424533784638676
3.097574702015872,24.44417843089396,0.26300030816947384,0.05238756415641027,31.0,27.804753441079306
3.472088540075925,25.65436791581943,0.24918626727905974,0.04763355404713262,32.0,29.37564272317442
3.873965372750251,27.033723417450407,0.23713427347258523,0.04331095571498678,33.0,31.144823063673243
4.2978278133689605,28.59174886681203,0.22660402716007227,0.03938061986915518,34.0,33.11618070734106
4.735971151604661,30.335367218762062,0.2173691399013295,0.03580694989698668,35.0,35.288707510268054
5.178327373216297,32.26792807924639,0.20921455683343307,0.032557579468849816,36.0,37.65547000929612
5.612679124232872,34.388250274170844,0.20193541353461514,0.029603079398863058,37.0,40.202864811938326
6.025168438943847,36.68981298853514,0.19533728789849464,0.026916691111467706,38.0,42.910318715377485
6.401101541555817,39.16022040243752,0.18923772843004974,0.024474084287283874,39.0,45.750559672423385
6.725993110387615,41.78105239070044,0.18346885447880965,0.022253136510516212,40.0,48.69051435556686
6.986733667338835,44.52817944168248,0.17788058847945293,0.020233732905465818,41.0,51.69279369750077
7.172721106893357,47.37256053932546,0.1723440737781023,0.018397583958317622,42.0,54.71762571999692
7.276786807497919,50.28147433914776,0.16675468632235382,0.01672805987339796,43.0,57.72501583296804
7.295773784561336,53.22006754340866,0.16103413571670105,0.015210039957561964,44.0,60.6768754636867
7.230687430142717,56.15305689108132,0.1551312634088418,0.013829775672838641,45.0,63.538875584632876
7.086416897959855,59.04640552853461,0.1490213341204743,0.012574766121835718,46.0,66.28184376061495
6.871099577990923,61.86880587987343,0.14270384533546907,0.011433644822710875,47.0,68.88260930319983
6.595250337428895,64.5928480116882,0.13619907971925557,0.010396076767323362,48.0,71.32429742883636
6.270795825440986,67.19580282963517,0.1295438019312838,0.009452664817489716,49.0,73.59614245700743
5.91014251655578,69.66000892467231,0.12278652573096277,0.008594864596683696,50.0,75.69293796695905
